City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Benguela,AO,-12.5763,13.4055,73.33,79,69,4.05,broken clouds
1,Caibarien,CU,22.5206,-79.4669,76.32,82,100,8.99,overcast clouds
2,Jamestown,US,42.097,-79.2353,37.02,98,100,13.8,light snow
3,Jadu,LY,31.953,12.0261,58.32,76,0,2.17,clear sky
4,Le Port,RE,-20.9373,55.2919,69.76,84,56,1.54,broken clouds
5,Camapua,BR,-19.5314,-54.0439,77.4,58,32,5.79,scattered clouds
6,Upernavik,GL,72.7868,-56.1549,20.16,84,100,4.25,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,59.7,87,94,8.7,overcast clouds
8,Bhakkar,PK,31.6253,71.0657,70.41,42,3,7.25,clear sky
9,Bay Roberts,CA,47.5999,-53.2648,57.33,94,3,5.73,clear sky
10,Bangalore,IN,12.9762,77.6033,67.82,94,90,1.19,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,63.12,76,66,1.99,broken clouds
12,Ribeira Grande,PT,38.5167,-28.7,65.77,78,100,8.01,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,68.29,73,40,3.44,scattered clouds
14,Luderitz,NA,-26.6481,15.1594,59.95,90,9,15.3,clear sky
15,Mattru,SL,7.6244,-11.8332,73.74,98,100,1.95,overcast clouds
16,Victoria,HK,22.2855,114.1577,74.32,66,82,18.99,broken clouds
17,Georgetown,MY,5.4112,100.3354,78.24,86,20,4.61,light rain
18,Jumla,NP,29.2747,82.1838,41.58,78,6,3.71,clear sky
19,Juruti,BR,-2.1522,-56.0922,81.61,70,95,3.76,overcast clouds
20,Vestmanna,FO,62.1564,-7.1664,40.12,81,100,5.75,overcast clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,62.1,96,100,21.99,overcast clouds
22,Filingue,NE,14.3521,3.3168,86.49,18,49,1.72,scattered clouds
23,Lyndon,US,38.2567,-85.6016,51.66,31,0,11.5,clear sky
24,Port Elizabeth,ZA,-33.918,25.5701,72.1,83,0,25.32,clear sky
25,Sinnamary,GF,5.3833,-52.95,79.0,86,54,9.71,broken clouds
26,Aksu,CN,41.1231,80.2644,54.75,24,99,3.0,overcast clouds
27,Hermanus,ZA,-34.4187,19.2345,61.81,91,92,12.91,overcast clouds
28,Trairi,BR,-3.2778,-39.2689,79.18,80,33,14.18,scattered clouds
29,East London,ZA,-33.0153,27.9116,74.08,80,60,10.07,broken clouds
30,Saint George,US,37.1041,-113.5841,86.95,15,0,5.75,clear sky
31,Waw,SS,7.7029,27.9953,73.42,86,81,3.15,broken clouds
32,Zhob,PK,31.3411,69.4481,62.2,29,0,2.46,clear sky
33,Ushuaia,AR,-54.8,-68.3,38.86,81,75,25.32,light rain
34,Ilulissat,GL,69.2167,-51.1,26.62,80,75,3.44,light shower snow
35,Ouallam,NE,14.3188,2.0866,86.18,18,3,4.34,clear sky
36,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,40,3.44,scattered clouds
37,Santa Cruz,BO,-17.8,-63.1667,80.65,69,40,14.97,scattered clouds
38,Port Alfred,ZA,-33.5906,26.891,69.19,92,39,1.99,scattered clouds
39,Longyearbyen,SJ,78.2186,15.6401,26.44,63,40,19.57,scattered clouds
40,Thyboron,DK,56.6985,8.2124,47.14,82,43,10.67,scattered clouds
41,Hithadhoo,MV,-0.6,73.0833,80.01,78,98,8.23,overcast clouds
42,Busselton,AU,-33.65,115.3333,60.48,83,97,6.02,overcast clouds
43,Hamilton,US,39.1834,-84.5333,51.31,38,0,10.36,clear sky
44,Charagua,BO,-19.8,-63.2167,70.14,85,98,2.35,overcast clouds
45,Hofn,IS,64.2539,-15.2082,42.66,68,5,7.52,clear sky
46,Rabo De Peixe,PT,37.8,-25.5833,63.91,95,75,11.5,shower rain
47,Metaxades,GR,41.4204,26.225,54.16,44,0,4.05,clear sky
48,Poco Verde,BR,-10.7083,-38.1833,70.65,83,46,11.41,scattered clouds
49,Akureyri,IS,65.6835,-18.0878,40.93,60,0,16.11,clear sky
50,Bandarbeyla,SO,9.4942,50.8122,78.51,84,93,12.97,overcast clouds
51,Kharovsk,RU,59.9642,40.1912,32.92,90,48,4.14,scattered clouds
52,Qaanaaq,GL,77.484,-69.3632,-0.83,68,0,10.87,clear sky
53,Chuy,UY,-33.6971,-53.4616,58.62,97,9,6.13,clear sky
54,Dikson,RU,73.5069,80.5464,32.25,98,100,19.75,light snow
55,Korla,CN,41.7597,86.1469,52.41,43,68,16.62,broken clouds
56,Lockerbie,GB,55.123,-3.3564,51.26,86,100,19.42,overcast clouds
57,Saint-Pierre,RE,-21.3393,55.4781,65.91,68,20,8.05,few clouds
58,Atasu,KZ,48.6814,71.6433,46.54,57,100,24.65,overcast clouds
59,Mana,GF,5.6592,-53.7767,80.02,84,64,11.18,broken clouds
60,Calama,CL,-22.4667,-68.9333,63.09,11,0,19.57,clear sky
61,Presov,SK,49.1667,21.25,45.52,86,54,5.53,broken clouds
62,Sao Filipe,CV,14.8961,-24.4956,79.38,80,31,3.13,scattered clouds
63,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,9.22,thunderstorm
64,Chiredzi,ZW,-21.05,31.6667,70.79,48,82,5.19,broken clouds
65,Adiake,CI,5.2863,-3.304,76.32,89,42,6.06,light rain
66,Shahrud,IR,36.4182,54.9763,54.97,49,0,1.57,clear sky
67,Qaqortoq,GL,60.7167,-46.0333,34.59,66,11,30.62,few clouds
